icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
SSCA,,Fazenda Campo Bom Airport,Chapadao Do Sul,Goiás,BR,2657,-18.73944473,-52.61999893,America/Campo_Grande,
SSCB,,Fazenda Santa Maria Airport,Mundo Novo,Goiás,BR,978,-13.77583313,-49.94694519,America/Sao_Paulo,
SSCD,,Chapadao do Sul Airport,Chapadao Do Sul,Mato-Grosso-do-Sul,BR,2644,-18.83777809,-52.48666763,America/Campo_Grande,
SSCE,,Aeroclube Airport,Bage,Rio Grande do Sul,BR,722,-31.32777786,-54.13472366,America/Sao_Paulo,
SSCF,,Max Fontoura Airport,Campo Largo,Paraná,BR,3140,-25.43222237,-49.52999878,America/Sao_Paulo,
SSCH,,Fazenda Cachoeirao Airport,Nova Andradina,Mato-Grosso-do-Sul,BR,1053,-21.5972,-53.225,America/Campo_Grande,
SSCI,,Coxim Airport,Coxim,Mato-Grosso-do-Sul,BR,957,-18.47769928,-54.71469879,America/Campo_Grande,
SSCJ,,Fazenda Celeiro Airport,Rio Brilhante,Mato-Grosso-do-Sul,BR,1070,-21.54166794,-54.66166687,America/Campo_Grande,
SSCK,CCI,Concordia Airport,Concordia,Santa Catarina,BR,2461,-27.18059921,-52.05270004,America/Sao_Paulo,
SSCL,CSS,Cassilandia Airport,Cassilandia,Mato-Grosso-do-Sul,BR,1568,-19.14638901,-51.68527985,America/Campo_Grande,
SSCM,,Fazenda Cacadinha Airport,Rio Brilhante,Mato-Grosso-do-Sul,BR,1312,-21.62388992,-54.81083298,America/Campo_Grande,
SSCN,QCN,Canela Airport,Canela,Rio Grande do Sul,BR,2723,-29.3701992,-50.83200073,America/Sao_Paulo,
SSCO,,Comandante Marilda Zaiden de Mesquita Airport,Capao Do Leao,Rio Grande do Sul,BR,33,-31.77416611,-52.45138931,America/Sao_Paulo,
SSCP,CKO,Cornelio Procopio Airport,Cornelio Procopio,Paraná,BR,1854,-23.15250015,-50.60250092,America/Sao_Paulo,
SSCQ,,Salca Airport,Cacequi,Rio Grande do Sul,BR,285,-29.89972115,-54.9291687,America/Sao_Paulo,
SSCR,,Marechal Candido Rondon Airport,Marechal Candido Rondon,Paraná,BR,1411,-24.51269913,-54.05469894,America/Sao_Paulo,
SSCS,,Estancia Ema Airport,Campo Grande,Mato-Grosso-do-Sul,BR,1968,-20.61972237,-54.7219429,America/Campo_Grande,
SSCT,GGH,Cianorte Airport,Cianorte,Paraná,BR,1837,-23.69149971,-52.64189911,America/Sao_Paulo,
SSCU,,Fazenda Santa Marina Airport,Santa Maria Das Barreiras,Pará,BR,1007,-8.868056297,-50.4794426,America/Araguaina,
SSCV,,Capivari Airport,Capivari Do Sul,Rio Grande do Sul,BR,14,-30.13472176,-50.50860977,America/Sao_Paulo,
SSCW,,Fazenda Sao Sebastiao Airport,Corumba,,BR,443,-18.03972244,-56.0055542,America/Cuiaba,
SSCX,,Fazenda Coxilha Airport,Passo Fundo,Rio Grande do Sul,BR,2133,-28.11722183,-52.3172226,America/Sao_Paulo,
SSDB,,Fazenda Kurupay Airport,Angelica,Mato-Grosso-do-Sul,BR,1280,-22.04083252,-53.73110962,America/Campo_Grande,
SSDC,,Dionisio Cerqueira Airport,Dionisio Cerqueira,Misiones,BR,2723,-26.295834,-53.630654,America/Sao_Paulo,
SSDE,,Fazenda Barra Dourada Airport,Dourados,Mato-Grosso-do-Sul,BR,1083,-21.98805618,-54.23860931,America/Campo_Grande,
SSDF,,Fazenda Sao Jose Airport,Corumba,Mato-Grosso-do-Sul,BR,312,-20.09944344,-57.3461113,America/Campo_Grande,
SSDG,,Fazenda Nazare Airport,Santa Filomena,Piauí,BR,1962,-9.35444355,-45.56138992,America/Fortaleza,
SSDH,,Fazenda Caranday Airport,Corumba,Mato-Grosso-do-Sul,BR,541,-20.20555687,-57.0633316,America/Campo_Grande,
SSDI,,Fazenda Bacatuba Airport,Buriti Bravo,Maranhão,BR,584,-5.658332825,-43.70555496,America/Fortaleza,
SSDJ,,Fazenda Bonanza Airport,Camapua,Mato-Grosso-do-Sul,BR,1252,-19.05083275,-54.06499863,America/Campo_Grande,
